LBP_0,LBP_1,LBP_2,LBP_3,LBP_4,LBP_5,LBP_6,LBP_7,LBP_8,LBP_9
0.37892,0.055093,0.062407,0.083519,0.100401,0.067469,0.049398,0.042052,0.026358,0.134383
0.424311,0.052876,0.052841,0.059713,0.074538,0.058991,0.047825,0.048031,0.032914,0.147959
0.298077,0.075871,0.052512,0.076017,0.121779,0.066741,0.043901,0.063374,0.034269,0.16746
0.376128,0.064281,0.049897,0.061432,0.090298,0.051381,0.040203,0.053577,0.034228,0.178577
0.572423,0.045486,0.036001,0.041923,0.068549,0.037299,0.028235,0.041137,0.021418,0.107529
0.415404,0.050505,0.055303,0.068831,0.087374,0.05772,0.048557,0.045996,0.030952,0.139358
0.444703,0.055205,0.050423,0.059195,0.072216,0.053256,0.043159,0.044697,0.030397,0.146747
0.381546,0.048969,0.063784,0.099179,0.125378,0.079034,0.046393,0.034863,0.019324,0.10153
0.378191,0.052434,0.065587,0.090396,0.125708,0.081044,0.044997,0.035895,0.019217,0.106532
0.494631,0.033226,0.053272,0.100574,0.126202,0.065652,0.030275,0.022423,0.010791,0.062954
0.755038,0.023883,0.019676,0.021535,0.029194,0.021528,0.019376,0.021528,0.01491,0.073332
0.730596,0.026624,0.020568,0.021885,0.030933,0.021691,0.019884,0.024683,0.018209,0.084926
0.435177,0.042801,0.052556,0.080504,0.109867,0.075432,0.047264,0.038582,0.021998,0.09582
0.396664,0.025336,0.052977,0.125879,0.183544,0.101657,0.037135,0.018929,0.009513,0.048367
0.303005,0.035772,0.062779,0.127615,0.189772,0.11977,0.048354,0.029192,0.014446,0.069294
0.442296,0.047548,0.052127,0.065104,0.08865,0.069857,0.047917,0.043772,0.026063,0.116667
